"PlotID","bird_insecti_activity","bird_grani_activity","bird_omni_activity","bird_activity"
1,38,0,25,63
2,10,0,274,284
3,38,0,365,403
4,120,0,87,207
5,5,416,30,451
6,53,0,112,165
7,176,0,3,179
8,6,99,12935,13040
9,0,0,2035,2035
10,647,109,1625,2381
11,58,5649,771,6478
12,117,0,99,216
13,2,2,5545,5549
14,396,0,4,400
15,171,89,3374,3634
16,0,398,6608,7006
17,52,185,7136,7373
18,0,0,0,0
19,917,14,2,933
20,9,0,0,9
21,0,0,0,0
22,0,0,902,902
23,81,0,5710,5791
24,1050,0,13398,14448
25,0,0,5612,5612
26,936,0,1984,2920
27,0,0,0,0
28,0,23,24,47
29,0,0,142,142
30,2241,5,3213,5459
31,61,0,5857,5918
32,36,541,3819,4396
33,88,0,13,101
34,49,0,0,49
35,2421,0,76,2497
36,0,0,0,0
37,0,0,1488,1488
38,611,11,10075,10697
39,719,76,4,799
40,849,0,5268,6117
41,227,13,0,240
42,0,741,3,744
43,2659,0,19480,22139
44,12,0,0,12
45,308,0,276,584
46,24,0,0,24
47,0,0,0,0
48,16,0,0,16
49,0,478,940,1418
50,0,3474,0,3474
51,111,0,0,111
52,0,0,0,0
53,0,0,0,0
54,294,0,59,353
55,0,0,0,0
56,0,0,11,11
