"PlotID","bird_H0","bird_H1","bird_H2","bird_N"
1,2,2,2,2
2,3,2.82842712474619,2.66666666666667,4
3,3,2.82842712474619,2.66666666666667,4
4,4,4,4,4
5,3,3,3,3
6,3,2.82842712474619,2.66666666666667,4
7,4,4,4,4
8,6,5,4.16666666666667,10
9,2,2,2,6
10,8,6.52912922472093,5.48780487804878,15
11,7,6.04149927965329,5.26086956521739,11
12,3,2.58640928985893,2.27272727272727,5
13,6,4.47213595499958,3.33333333333333,10
14,3,3,3,3
15,6,5.11732032057026,4.5,12
16,6,4.97889066134192,4.33333333333333,13
17,7,6.24025146915571,5.4,9
18,0,0,0,0
19,4,3.789291416276,3.57142857142857,5
20,1,1,1,1
21,0,0,0,0
22,1,1,1,2
23,7,5.74349177498517,4.54545454545455,10
24,4,3.61849190017895,3.42857142857143,12
25,1,1,1,3
26,5,4.58575641234582,4.26315789473684,9
27,0,0,0,0
28,2,1.88988157484231,1.8,3
29,2,2,2,2
30,7,5.88342684216636,5.15789473684211,14
31,3,2.58640928985893,2.27272727272727,5
32,5,4,3.2,8
33,3,2.82842712474619,2.66666666666667,4
34,2,2,2,2
35,2,1.88988157484231,1.8,6
36,0,0,0,0
37,1,1,1,3
38,7,5.6526585905751,4.78723404255319,15
39,5,4.71065067421325,4.45454545454545,7
40,5,4.32674871092223,3.85714285714286,9
41,3,2.82842712474619,2.66666666666667,4
42,2,2,2,2
43,3,2.81848296582607,2.68888888888889,11
44,1,1,1,1
45,4,3.58598882705695,3.26666666666667,7
46,2,2,2,2
47,0,0,0,0
48,1,1,1,1
49,2,2,2,4
50,1,1,1,3
51,1,1,1,1
52,0,0,0,0
53,0,0,0,0
54,2,1.88988157484231,1.8,3
55,0,0,0,0
56,1,1,1,1
