"PlotID","insect_H0","insect_H1","insect_H2","insect_N","insect_pollinator_H0","insect_pollinator_H1","insect_pollinator_H2","insect_pollinator_N","insect_predator_H0","insect_predator_H1","insect_predator_H2","insect_predator_N"
1,84,22.5632109995778,10.8558133200163,489,11,7.83847551634748,5.5,22,25,17.7466252617082,10.2932330827068,37
2,86,14.0892367074475,7.3709905327116,646,14,11.7223602478684,9.61818181818182,23,27,25.4886062948688,23.4390243902439,31
3,89,28.7094506138705,15.21719054242,523,14,8.8324709763373,7.19163292847503,73,26,25.6486933912572,25.1379310344828,27
4,82,22.0466236529168,10.8804950206259,511,9,5.30800620398164,3.4468085106383,36,27,23.7446772122327,19.2666666666667,34
5,93,17.315387703571,6.22331188987359,526,13,8.36397862728924,5.22666666666667,28,33,31.5093898085683,29.8235294117648,39
6,69,19.3325347339903,7.63568904593639,294,11,9.1596719804537,7.68085106382979,19,23,19.9912438473888,15.68,28
7,84,27.7101351274065,11.5878889823381,332,9,8.32514890264246,7.81081081081081,17,19,12.6819703643941,7.44961240310078,31
8,56,25.610388588336,13.4937701892017,171,12,9.15432047344154,7.39622641509434,28,11,10.6907846176841,10.2857142857143,12
9,68,13.7711092879939,4.60102138525375,465,14,9.67309380312265,7.16374269005848,35,14,13.2276104304804,12.4615384615385,18
10,101,27.0010438608911,14.2850213506903,587,17,9.0630398584532,6.41348973607038,81,34,32.6020061696211,30.4222222222223,37
11,65,17.1512455046203,6.4216077170418,316,11,5.52047030209654,3.35528942115768,41,15,15,15,15
12,66,20.1671070022188,9.87921102354947,463,15,9.72541878552728,7.55813953488372,65,13,12.3376866032635,11.6363636363636,16
13,85,22.0526294668018,9.2827140549273,442,7,4.3067606190401,3.31578947368421,21,21,20.6564800345575,20.1666666666666,22
14,96,24.9732624454413,8.806125670982,501,16,11.5181589776763,9.12927756653992,49,28,23.0417864310656,17.8941176470588,39
15,70,22.4894634966107,9.8993466947182,299,15,10.6035991127962,7.53488372093023,36,19,16.0202285596155,13.5641025641026,23
16,55,14.8588267451312,5.63114047687446,198,7,6.61380521524019,6.23076923076923,9,19,18.2105721574658,17.2857142857143,22
17,110,27.2935724227067,12.7883979206049,658,12,9.36671342685175,8.09665427509294,66,31,22.5673680415796,13.5649717514124,49
18,58,11.8053705114723,4.65793304221252,400,8,5.64728009697905,4.56603773584906,22,11,10.0203636240206,8.90909090909091,14
19,96,16.5299790321729,5.93827266483517,526,17,12.7074382182373,8.56164383561644,25,30,28.4422984471427,26.2727272727273,34
20,82,34.9008845901542,18.3889111556446,371,15,11.3214765965707,9.47255369928401,63,17,14.7195739095273,12.1,22
