"PlotID","planted_tree_H0","planted_tree_H1","planted_tree_H2","planted_tree_N","planted_tree_H0rare","planted_tree_H1rare","planted_tree_H2rare"
1,1,1,1,317,1,1,1
2,3,2.27676484984511,1.89784442361762,45,2.943,2.199,1.846
3,2,1.99000830822195,1.98019801980198,40,2,1.962,1.927
4,1,1,1,2,1,1,1
5,1,1,1,348,1,1,1
6,1,1,1,6,1,1,1
7,3,2.74136179638896,2.52908447142135,200,2.984,2.606,2.357
8,0,0,0,0,0,0,0
9,3,2.83872051265075,2.72340425531915,16,3,2.871,2.774
10,0,0,0,0,0,0,0
11,1,1,1,1,1,1,1
12,1,1,1,15,1,1,1
13,1,1,1,25,1,1,1
14,1,1,1,4,1,1,1
15,1,1,1,94,1,1,1
16,1,1,1,1,1,1,1
17,1,1,1,36,1,1,1
18,1,1,1,3,1,1,1
19,5,3.80913462183242,3.49090909090909,48,4.184,3.536,3.23
20,1,1,1,19,1,1,1
21,5,4.24264068711928,3.78947368421053,12,5.836,4.758,4.18
22,1,1,1,2,1,1,1
23,6,4.41864432615501,3.89788346403575,215,4.737,3.867,3.42
24,2,1.10520215641992,1.04186645477711,195,1.339,1.079,1.04
25,1,1,1,4,1,1,1
26,2,1.75476535060332,1.6,16,2,1.765,1.61
27,2,1.99810993845089,1.99622641509434,23,2,1.989,1.977
28,1,1,1,6,1,1,1
29,3,2.04240175180437,1.64331531531532,151,2.847,1.938,1.596
30,1,1,1,99,1,1,1
31,1,1,1,4,1,1,1
32,1,1,1,2,1,1,1
33,3,2.2436999456819,2.11991971901656,65,2.502,2.151,2.034
34,1,1,1,11,1,1,1
35,0,0,0,0,0,0,0
36,2,1.1047547774326,1.04164859002169,49,1.388,1.083,1.04
37,0,0,0,0,0,0,0
38,1,1,1,36,1,1,1
39,1,1,1,3,1,1,1
40,0,0,0,0,0,0,0
41,1,1,1,17,1,1,1
42,1,1,1,4,1,1,1
43,1,1,1,53,1,1,1
44,2,2,2,4,2,2.266,2.714
45,1,1,1,369,1,1,1
46,2,1.9999269490896,1.99985390796202,234,2,1.951,1.907
47,2,1.98064322190151,1.96196164728073,79,2,1.94,1.888
48,3,2.4164775561647,2.22772277227723,15,3,2.475,2.27
49,1,1,1,51,1,1,1
50,3,3,3,3,4.997,8.217,19
51,1,1,1,89,1,1,1
52,1,1,1,18,1,1,1
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
