"","PlotID","decomp.palm.t1","decomp.palm.t2","root_colon.palm.t1","root_colon.palm.t2","decomp.all.t1","decomp.all.t2","root_colon.all.t1","root_colon.all.t2","decomp.treat.t1","decomp.treat.t2","root_colon.treat.t1","root_colon.treat.t2"
"1",1,66.00496278,90.28239203,0.01,0.01,54.67328371,72.65948633,0.01,0.01,53.87177352,62.18905473,0.1,0.01
"2",2,74.04643449,86.57829329,0.25,0.81,82.32365145,87.98674399,0.36,0.88,59.36981758,76.11940299,0.09,0.07
"3",3,62.58333333,88.16225166,0.13,0.24,84.74295191,91.93682461,0.01,0.17,80.08298755,96.93200663,0.01,0.13
"4",4,61.22618061,75.78772803,0.01,0.02,83.26394671,79.25311203,0,0.12,82.76436303,95.60165975,0.01,0.37
"5",5,64.29163215,92.42298085,0.01,0.01,46.9269103,70.04991681,0.01,0.02,33.52745424,72.66666667,0.01,0.01
"6",6,57.46268657,80.72787428,0.01,0.01,60.54817276,68.05324459,0.01,0.03,58.78434638,65.69525396,0.04,0.04
"7",7,30.78202995,81.26561199,0.01,0.14,18.55241265,74.08637874,0.01,0.02,15.26970954,53.11720698,0.17,0.01
"8",8,75.66445183,94.17637271,0.09,0.19,49.33333333,89.52618454,0.44,0.29,80.75,92.43557772,0,0.5
"9",9,60.24896266,89.36877076,0.01,0.41,53.73134328,89.64374482,0.01,0.04,55.7868443,69.26910299,0.04,0.04
"10",10,63.84602566,91.12769486,0.01,0.02,57.0719603,81.88585608,0.01,0.07,42.86898839,63.61365529,0,0.06
"11",11,83.26429163,92.70919635,0.14,0,61.31447587,93.20066335,0.1,0.01,65.91666667,90.41666667,0.01,0.03
"12",12,53.78850958,68.8225539,0.06,0.1,61.47473074,80.29925187,0.1,0.01,68.19317236,82.75,0.07,0.01
"13",13,74.83443709,77.34439834,0,0,57.16652858,73.90223695,0,0.01,42.60797342,64.2384106,0.01,0.03
"14",14,65.28583264,92.00666112,1.16,0.74,70.91963546,84.97925311,0.17,0.63,69.25,90.83333333,0.33,0.14
"15",15,72.25,88.29875519,0.01,0.01,84.24543947,95.43946932,0.05,0.01,90.08333333,93.83846794,0.01,0.01
