"PlotID","soil_fauna_H0","soil_fauna_H1","soil_fauna_H2","soil_predator_H0","soil_predator_H1","soil_predator_H2","soil_predator_N","soil_decomp_H0","soil_decomp_H1","soil_decomp_H2","soil_decomp_N","soil_herbi_H0","soil_herbi_H1","soil_herbi_H2","soil_herbi_N","soil_fauna_N"
1,20,8.3590852087442,5.64286126444962,7,3.22554669157306,2.40026921782607,316,10,4.60359452860371,3.05355479165997,436,3,1.92702185790059,1.55555555555556,14,766
2,17,7.26520048339991,4.43612993224392,7,5.32009994799208,4.56411609498681,93,8,3.03698189688858,2.10708589655958,272,2,1.09233737623192,1.0357029008607,57,422
3,18,5.0948749021526,3.25225368106527,7,2.12773647148048,1.50217562489197,839,9,2.87418899828884,1.9539028887523,561,2,1.36496550166473,1.20470588235294,32,1432
4,19,5.06257172899816,3.40780172290432,8,3.18804479597137,2.07486230447235,217,8,2.79196548489146,2.20781562111838,753,3,2.74945927399721,2.57142857142857,6,976
5,17,4.54350726606383,2.79255126366138,6,1.78815926414816,1.34278822847819,674,9,3.6287752260861,2.47934131736527,364,2,1.45756926498109,1.28,8,1046
6,18,7.46438783174377,5.07453219156359,7,3.08231556819385,2.2880978865406,187,8,3.52588633575823,2.42779291553133,198,3,2.43968124949149,2.27272727272727,15,400
7,15,6.03915955405271,4.28792678018305,5,2.44147119664922,1.85824998183624,277,8,3.27116791390296,2.64195022854241,204,2,1.97962633005252,1.96,14,495
8,14,5.39549531229819,4.23158018039124,6,2.58634650253517,2.22710904558185,269,7,3.09903329269156,2.35700971254783,155,1,1,1,1,425
9,16,5.62897422178613,3.55100762343508,8,3.50060898325912,2.26538088568042,145,7,3.00306380028717,2.2017322801296,456,1,1,1,6,607
10,19,7.94611631347428,5.58282577135515,6,3.28386456493961,2.44015537751881,437,10,4.40903305387555,3.29466692337312,370,3,2.97445151921282,2.95121951219512,11,818
11,11,5.733846107189,3.89029371717565,4,2.21370041988849,1.68286197727822,118,6,3.80109485996759,3.05421686746988,78,1,1,1,4,200
12,17,7.61806446914687,5.31675674125894,6,3.35745164241173,2.46283352123262,256,10,3.97838098504181,2.77776230915588,346,1,1,1,7,609
13,20,5.13806445323166,3.50229889540351,8,5.0546251232278,4.23425692695214,205,10,2.50781784375715,2.16218137687755,691,2,1.88988157484231,1.8,3,899
14,21,6.7298718639701,3.98530209617756,8,4.58042806452137,3.36128048780488,210,10,3.21628854615247,2.26567733188356,581,3,2.20398694527043,1.85714285714286,13,804
15,16,6.1446295320803,4.36404281733182,7,2.99825259378392,2.06932388954471,299,8,3.08476955867093,2.3014796804446,407,1,1,1,3,709
16,20,4.9953285238075,3.19982420835936,8,4.84427279623164,3.64199655765921,92,9,2.6899741791271,2.18750074287141,429,3,2.87174588749259,2.77777777777778,5,526
17,17,4.40778354395297,2.62135143465451,7,2.02019383337087,1.47763012556421,1386,9,3.55707629330551,2.51240176346559,512,1,1,1,21,1919
18,17,4.85601673080724,2.86117717527262,8,4.65213144708798,3.64320281566212,91,8,2.27864528261793,1.71954310059867,306,1,1,1,6,403
19,16,4.48282276246249,2.54450649928335,7,2.04917453919036,1.45048943112498,286,8,3.7241412792375,2.42970574497898,102,1,1,1,5,393
20,15,6.24665639267665,4.1986951202936,6,3.07641732241187,2.10394899946874,109,7,3.21056852971854,2.43284542383786,275,2,1.69843323402318,1.52830188679245,9,393
21,18,5.15776103934402,3.80044473411801,6,2.01222856578017,1.44854881266491,183,9,2.96462764503514,2.43654272470778,622,3,1.3591087491825,1.15634218289086,28,833
22,14,6.67882173106892,5.1559834790538,7,2.93359031819255,2.26721101504963,238,7,3.7454459755837,2.88902892228147,299,0,1,1,0,537
