PlotID,spont_tree_N,spont_tree_H0,spont_tree_H0rare,spont_tree_H1,spont_tree_H1rare,spont_tree_H2,spont_tree_H2rare
1,158,13,5.173,3.584,2.958,2.352,2.244
2,12,6,8.089,5.117,6.419,4.5,5.351
3,39,7,5.828,4.315,4.044,3.271,3.153
4,38,4,3.502,2.274,2.204,1.81,1.787
5,200,9,3.452,2.74,2.436,2.281,2.178
6,10,2,2,1.842,1.916,1.724,1.809
7,211,12,6.387,5.662,4.703,4.373,3.887
8,0,0,0,0,0,0,0
9,17,5,5.651,3.533,3.76,2.806,2.901
10,29,6,5.458,3.495,3.397,2.776,2.739
11,12,6,8.785,4.663,6.06,3.789,4.34
12,51,7,4.742,3.083,2.829,2.276,2.212
13,3,2,2.333,1.89,2.518,1.8,2.769
14,8,3,3.859,2.087,2.634,1.684,1.802
15,18,5,5.17,3.916,4.079,3.306,3.422
16,4,3,4.495,2.828,4.831,2.667,4.966
17,28,5,4.714,3.354,3.295,2.722,2.694
18,4,3,4.495,2.828,4.831,2.667,4.966
19,30,14,12.092,8.66,7.915,5.172,4.993
20,21,5,5.389,2.926,2.993,2.239,2.256
21,0,0,0,0,0,0,0
22,1,1,1,1,1,1,1
23,92,14,6.792,6.254,5.117,4.848,4.329
24,36,11,9.091,7.408,6.7,5.684,5.328
25,3,2,2.333,1.89,2.518,1.8,2.769
26,456,11,3.54,2.282,1.982,1.609,1.571
27,8,6,9.087,5.657,9.368,5.333,9.081
28,9,3,3.858,1.981,2.404,1.588,1.665
29,96,10,5.955,4.95,4.266,3.818,3.506
30,24,3,3,1.578,1.578,1.291,1.291
31,0,0,0,0,0,0,0
32,24,5,5,3.105,3.105,2.42,2.42
33,39,9,7.145,4.302,3.924,2.654,2.584
34,4,3,4.495,2.828,4.831,2.667,4.966
35,177,16,6.146,5.021,3.985,3.333,3.073
36,32,9,8.069,5.539,5.213,3.737,3.63
37,22,1,1,1,1,1,1
38,103,8,5.416,3.269,2.876,2.074,2.005
39,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1
41,14,3,3,2.455,2.593,2.279,2.376
42,0,0,0,0,0,0,0
43,215,17,5.864,3.777,2.972,2.126,2.04
44,3,2,2.333,1.89,2.518,1.8,2.769
45,104,12,6.941,6.713,5.626,5.627,4.894
46,54,18,12.408,13.211,10.237,10.414,8.522
47,12,3,3.793,1.761,1.969,1.412,1.439
48,19,5,5.449,3.442,3.576,2.756,2.813
49,60,8,5.533,3.114,2.791,1.969,1.922
50,9,3,3.429,2.337,2.667,1.976,2.139
51,19,3,3.388,1.506,1.544,1.241,1.244
52,40,10,7.783,5.855,5.269,4.211,3.991
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
