"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
1,"Species richness",-1.9,103.3,40,"Island",1,"A",400,"Bats",2
1,"Simpson diversity",-1.9,103.3,40,"Island",1,"A",400,"Bats",2
1,"Shannon diversity",-1.9,103.3,40,"Island",1,"A",400,"Bats",2
2,"Species richness",-1.9,103.3,20,"Island",3,"ACF",99,"Bats",2
2,"Shannon diversity",-1.9,103.3,20,"Island",3,"ACF",99,"Bats",1.9
2,"Simpson diversity",-1.9,103.3,20,"Island",3,"ACF",99,"Bats",1.8
3,"Shannon diversity",-1.9,103.3,20,"Island",2,"CD",100,"Bats",2
3,"Species richness",-1.9,103.3,20,"Island",2,"CD",100,"Bats",2
3,"Simpson diversity",-1.9,103.3,20,"Island",2,"CD",100,"Bats",2
4,"Simpson diversity",-1.9,103.3,10,"Island",1,"F",25,"Bats",3
4,"Shannon diversity",-1.9,103.3,10,"Island",1,"F",25,"Bats",3
4,"Species richness",-1.9,103.3,10,"Island",1,"F",25,"Bats",3
5,"Simpson diversity",-1.9,103.3,40,"Island",1,"B",400,"Bats",3
5,"Species richness",-1.9,103.3,40,"Island",1,"B",400,"Bats",3
5,"Shannon diversity",-1.9,103.3,40,"Island",1,"B",400,"Bats",3
6,"Species richness",-1.9,103.3,5,"Island",1,"E",6,"Bats",4
6,"Simpson diversity",-1.9,103.3,5,"Island",1,"E",6,"Bats",4
6,"Shannon diversity",-1.9,103.3,5,"Island",1,"E",6,"Bats",4
7,"Shannon diversity",-1.9,103.3,40,"Island",3,"AEF",399,"Bats",2
7,"Simpson diversity",-1.9,103.3,40,"Island",3,"AEF",399,"Bats",2
7,"Species richness",-1.9,103.3,40,"Island",3,"AEF",399,"Bats",2
8,"Shannon diversity",-1.9,103.2,5,"Island",1,"F",6,"Bats",2
8,"Simpson diversity",-1.9,103.2,5,"Island",1,"F",6,"Bats",2
8,"Species richness",-1.9,103.2,5,"Island",1,"F",6,"Bats",2
9,"Simpson diversity",-1.9,103.3,10,"Island",3,"ABD",24,"Bats",2
9,"Species richness",-1.9,103.3,10,"Island",3,"ABD",24,"Bats",2
9,"Shannon diversity",-1.9,103.3,10,"Island",3,"ABD",24,"Bats",2
10,"Simpson diversity",-1.9,103.3,20,"Island",0,"Z",0,"Bats",3
10,"Species richness",-1.9,103.3,20,"Island",0,"Z",0,"Bats",3
10,"Shannon diversity",-1.9,103.3,20,"Island",0,"Z",0,"Bats",3
11,"Shannon diversity",-1.9,103.3,10,"Island",1,"D",25,"Bats",3.8
11,"Species richness",-1.9,103.3,10,"Island",1,"D",25,"Bats",4
11,"Simpson diversity",-1.9,103.3,10,"Island",1,"D",25,"Bats",3.6
12,"Shannon diversity",-1.9,103.3,20,"Island",1,"C",100,"Bats",3
12,"Simpson diversity",-1.9,103.3,20,"Island",1,"C",100,"Bats",3
12,"Species richness",-1.9,103.3,20,"Island",1,"C",100,"Bats",3
13,"Simpson diversity",-1.9,103.3,10,"Island",1,"E",25,"Bats",3
13,"Shannon diversity",-1.9,103.3,10,"Island",1,"E",25,"Bats",3
13,"Species richness",-1.9,103.3,10,"Island",1,"E",25,"Bats",3
14,"Species richness",-1.9,103.2,10,"Island",1,"C",25,"Bats",2
