"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
1,"Species richness",-1.942,103.252,40,"Island",1,"A",400,"Bats",0.5
1,"Simpson diversity",-1.942,103.252,40,"Island",1,"A",400,"Bats",0.5
1,"Shannon diversity",-1.942,103.252,40,"Island",1,"A",400,"Bats",0.5
2,"Species richness",-1.942,103.253,20,"Island",3,"ACF",99,"Bats",0.5
2,"Shannon diversity",-1.942,103.253,20,"Island",3,"ACF",99,"Bats",0.472
2,"Simpson diversity",-1.942,103.253,20,"Island",3,"ACF",99,"Bats",0.45
3,"Shannon diversity",-1.943,103.252,20,"Island",2,"CD",100,"Bats",0.5
3,"Species richness",-1.943,103.252,20,"Island",2,"CD",100,"Bats",0.5
3,"Simpson diversity",-1.943,103.252,20,"Island",2,"CD",100,"Bats",0.5
4,"Simpson diversity",-1.943,103.253,10,"Island",1,"F",25,"Bats",0.75
4,"Shannon diversity",-1.943,103.253,10,"Island",1,"F",25,"Bats",0.75
4,"Species richness",-1.943,103.253,10,"Island",1,"F",25,"Bats",0.75
5,"Simpson diversity",-1.945,103.252,40,"Island",1,"B",400,"Bats",0.75
5,"Species richness",-1.945,103.252,40,"Island",1,"B",400,"Bats",0.75
5,"Shannon diversity",-1.945,103.252,40,"Island",1,"B",400,"Bats",0.75
6,"Species richness",-1.945,103.253,5,"Island",1,"E",6,"Bats",1
6,"Simpson diversity",-1.945,103.253,5,"Island",1,"E",6,"Bats",1
6,"Shannon diversity",-1.945,103.253,5,"Island",1,"E",6,"Bats",1
7,"Shannon diversity",-1.945,103.255,40,"Island",3,"AEF",399,"Bats",0.5
7,"Simpson diversity",-1.945,103.255,40,"Island",3,"AEF",399,"Bats",0.5
7,"Species richness",-1.945,103.255,40,"Island",3,"AEF",399,"Bats",0.5
8,"Shannon diversity",-1.946,103.249,5,"Island",1,"F",6,"Bats",0.5
