"PlotID","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Function","value"
1,-1.942,103.252,40,"Island",1,"A",400,"Oil palm yield",0.535
2,-1.942,103.253,20,"Island",3,"ACF",99,"Oil palm yield",0.538
3,-1.943,103.252,20,"Island",2,"CD",100,"Oil palm yield",0.617
4,-1.943,103.253,10,"Island",1,"F",25,"Oil palm yield",0.478
5,-1.945,103.252,40,"Island",1,"B",400,"Oil palm yield",0.981
6,-1.945,103.253,5,"Island",1,"E",6,"Oil palm yield",0.494
7,-1.945,103.255,40,"Island",3,"AEF",399,"Oil palm yield",0.478
8,-1.946,103.249,5,"Island",1,"F",6,"Oil palm yield",0.507
9,-1.946,103.251,10,"Island",3,"ABD",24,"Oil palm yield",0.526
10,-1.946,103.252,20,"Island",0,"Z",0,"Oil palm yield",0.444
11,-1.946,103.253,10,"Island",1,"D",25,"Oil palm yield",0.388
12,-1.946,103.254,20,"Island",1,"C",100,"Oil palm yield",0.57
13,-1.946,103.256,10,"Island",1,"E",25,"Oil palm yield",0.428
14,-1.947,103.249,10,"Island",1,"C",25,"Oil palm yield",0.561
15,-1.947,103.25,20,"Island",1,"B",100,"Oil palm yield",0.545
16,-1.947,103.252,5,"Island",3,"ACD",6,"Oil palm yield",0.548
17,-1.947,103.253,20,"Island",1,"F",100,"Oil palm yield",0.834
18,-1.947,103.254,5,"Island",2,"DE",6,"Oil palm yield",0.532
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Oil palm yield",0.609
20,-1.947,103.257,10,"Island",1,"B",25,"Oil palm yield",0.468
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Oil palm yield",0.637
22,-1.949,103.249,5,"Island",2,"BF",6,"Oil palm yield",0.628
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Oil palm yield",0.536
24,-1.948,103.254,40,"Island",2,"CE",400,"Oil palm yield",0.658
25,-1.949,103.256,5,"Island",1,"A",6,"Oil palm yield",0.468
26,-1.948,103.257,40,"Island",2,"DF",400,"Oil palm yield",1
27,-1.95,103.246,10,"Island",2,"AE",24,"Oil palm yield",0.407
28,-1.95,103.248,5,"Island",1,"B",6,"Oil palm yield",0.396
29,-1.95,103.249,40,"Island",3,"BCD",399,"Oil palm yield",0.53
30,-1.95,103.253,20,"Island",1,"E",100,"Oil palm yield",0.366
31,-1.95,103.254,5,"Island",1,"C",6,"Oil palm yield",0.529
32,-1.95,103.256,10,"Island",2,"CF",24,"Oil palm yield",0.583
33,-1.95,103.257,20,"Island",3,"BDE",99,"Oil palm yield",0.437
34,-1.951,103.245,10,"Island",2,"BD",24,"Oil palm yield",0.546
35,-1.952,103.247,40,"Island",0,"Z",0,"Oil palm yield",0.697
36,-1.951,103.248,20,"Island",2,"AF",100,"Oil palm yield",0.445
37,-1.951,103.249,10,"Island",0,"Z",0,"Oil palm yield",0.556
38,-1.952,103.25,20,"Island",1,"D",100,"Oil palm yield",0.417
39,-1.951,103.252,5,"Island",2,"AC",6,"Oil palm yield",0.391
40,-1.951,103.257,5,"Island",0,"Z",0,"Oil palm yield",0.477
41,-1.953,103.244,10,"Island",1,"A",25,"Oil palm yield",0.512
42,-1.953,103.245,5,"Island",1,"D",6,"Oil palm yield",0.599
43,-1.95,103.259,40,"Island",1,"C",400,"Oil palm yield",0.697
44,-1.953,103.248,5,"Island",3,"BEF",6,"Oil palm yield",0.439
45,-1.953,103.249,40,"Island",1,"E",400,"Oil palm yield",0
46,-1.954,103.242,40,"Island",2,"AB",400,"Oil palm yield",0.633
47,-1.954,103.244,20,"Island",2,"BE",100,"Oil palm yield",0.571
48,-1.954,103.245,10,"Island",3,"CEF",24,"Oil palm yield",0.626
49,-1.954,103.247,40,"Island",1,"F",400,"Oil palm yield",0.466
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Oil palm yield",0.511
51,-1.954,103.249,20,"Island",1,"A",100,"Oil palm yield",0.333
52,-1.955,103.243,40,"Island",1,"D",400,"Oil palm yield",0.457
53,-1.943,103.255,10,"Control",,,0,"Oil palm yield",0.495
54,-1.951,103.256,10,"Control",,,0,"Oil palm yield",0.488
55,-1.951,103.253,10,"Control",,,0,"Oil palm yield",0.487
56,-1.955,103.246,10,"Control",,,0,"Oil palm yield",0.498
1,-1.942,103.252,40,"Island",1,"A",400,"Microclimate buffer",0.722
2,-1.942,103.253,20,"Island",3,"ACF",99,"Microclimate buffer",0.778
3,-1.943,103.252,20,"Island",2,"CD",100,"Microclimate buffer",0.789
4,-1.943,103.253,10,"Island",1,"F",25,"Microclimate buffer",0.811
5,-1.945,103.252,40,"Island",1,"B",400,"Microclimate buffer",0.834
6,-1.945,103.253,5,"Island",1,"E",6,"Microclimate buffer",0.843
7,-1.945,103.255,40,"Island",3,"AEF",399,"Microclimate buffer",0.741
8,-1.946,103.249,5,"Island",1,"F",6,"Microclimate buffer",0.939
9,-1.946,103.251,10,"Island",3,"ABD",24,"Microclimate buffer",0.834
10,-1.946,103.252,20,"Island",0,"Z",0,"Microclimate buffer",0.705
11,-1.946,103.253,10,"Island",1,"D",25,"Microclimate buffer",0.796
12,-1.946,103.254,20,"Island",1,"C",100,"Microclimate buffer",0.723
13,-1.946,103.256,10,"Island",1,"E",25,"Microclimate buffer",0.811
14,-1.947,103.249,10,"Island",1,"C",25,"Microclimate buffer",0.803
15,-1.947,103.25,20,"Island",1,"B",100,"Microclimate buffer",0.842
16,-1.947,103.252,5,"Island",3,"ACD",6,"Microclimate buffer",0.796
17,-1.947,103.253,20,"Island",1,"F",100,"Microclimate buffer",0.722
18,-1.947,103.254,5,"Island",2,"DE",6,"Microclimate buffer",0.859
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Microclimate buffer",0.774
20,-1.947,103.257,10,"Island",1,"B",25,"Microclimate buffer",0.761
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Microclimate buffer",0.671
22,-1.949,103.249,5,"Island",2,"BF",6,"Microclimate buffer",0.811
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Microclimate buffer",0.693
24,-1.948,103.254,40,"Island",2,"CE",400,"Microclimate buffer",0.859
25,-1.949,103.256,5,"Island",1,"A",6,"Microclimate buffer",0.796
26,-1.948,103.257,40,"Island",2,"DF",400,"Microclimate buffer",0.747
27,-1.95,103.246,10,"Island",2,"AE",24,"Microclimate buffer",1
28,-1.95,103.248,5,"Island",1,"B",6,"Microclimate buffer",0.913
29,-1.95,103.249,40,"Island",3,"BCD",399,"Microclimate buffer",0.834
30,-1.95,103.253,20,"Island",1,"E",100,"Microclimate buffer",0.843
31,-1.95,103.254,5,"Island",1,"C",6,"Microclimate buffer",0.767
32,-1.95,103.256,10,"Island",2,"CF",24,"Microclimate buffer",0.803
33,-1.95,103.257,20,"Island",3,"BDE",99,"Microclimate buffer",0.915
34,-1.951,103.245,10,"Island",2,"BD",24,"Microclimate buffer",0.693
35,-1.952,103.247,40,"Island",0,"Z",0,"Microclimate buffer",0.764
36,-1.951,103.248,20,"Island",2,"AF",100,"Microclimate buffer",0.722
37,-1.951,103.249,10,"Island",0,"Z",0,"Microclimate buffer",0.789
38,-1.952,103.25,20,"Island",1,"D",100,"Microclimate buffer",0.688
39,-1.951,103.252,5,"Island",2,"AC",6,"Microclimate buffer",0.819
40,-1.951,103.257,5,"Island",0,"Z",0,"Microclimate buffer",0.754
41,-1.953,103.244,10,"Island",1,"A",25,"Microclimate buffer",0.754
42,-1.953,103.245,5,"Island",1,"D",6,"Microclimate buffer",0.789
43,-1.95,103.259,40,"Island",1,"C",400,"Microclimate buffer",0.774
44,-1.953,103.248,5,"Island",3,"BEF",6,"Microclimate buffer",0.782
45,-1.953,103.249,40,"Island",1,"E",400,"Microclimate buffer",0.761
46,-1.954,103.242,40,"Island",2,"AB",400,"Microclimate buffer",0.95
47,-1.954,103.244,20,"Island",2,"BE",100,"Microclimate buffer",0.882
48,-1.954,103.245,10,"Island",3,"CEF",24,"Microclimate buffer",0.785
49,-1.954,103.247,40,"Island",1,"F",400,"Microclimate buffer",0.666
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Microclimate buffer",0.656
51,-1.954,103.249,20,"Island",1,"A",100,"Microclimate buffer",0.741
52,-1.955,103.243,40,"Island",1,"D",400,"Microclimate buffer",0.826
53,-1.943,103.255,10,"Control",,,0,"Microclimate buffer",0.803
54,-1.951,103.256,10,"Control",,,0,"Microclimate buffer",0.789
55,-1.951,103.253,10,"Control",,,0,"Microclimate buffer",0.789
56,-1.955,103.246,10,"Control",,,0,"Microclimate buffer",0.761
1,-1.942,103.252,40,"Island",1,"A",400,"Water infiltration",0.027
2,-1.942,103.253,20,"Island",3,"ACF",99,"Water infiltration",0.581
3,-1.943,103.252,20,"Island",2,"CD",100,"Water infiltration",0.216
4,-1.943,103.253,10,"Island",1,"F",25,"Water infiltration",0.062
5,-1.945,103.252,40,"Island",1,"B",400,"Water infiltration",0.307
6,-1.945,103.253,5,"Island",1,"E",6,"Water infiltration",0.304
7,-1.945,103.255,40,"Island",3,"AEF",399,"Water infiltration",0.65
8,-1.946,103.249,5,"Island",1,"F",6,"Water infiltration",0.163
9,-1.946,103.251,10,"Island",3,"ABD",24,"Water infiltration",0.282
10,-1.946,103.252,20,"Island",0,"Z",0,"Water infiltration",0.806
11,-1.946,103.253,10,"Island",1,"D",25,"Water infiltration",0.056
12,-1.946,103.254,20,"Island",1,"C",100,"Water infiltration",0.836
13,-1.946,103.256,10,"Island",1,"E",25,"Water infiltration",0.283
14,-1.947,103.249,10,"Island",1,"C",25,"Water infiltration",0.656
15,-1.947,103.25,20,"Island",1,"B",100,"Water infiltration",0.711
16,-1.947,103.252,5,"Island",3,"ACD",6,"Water infiltration",0.193
17,-1.947,103.253,20,"Island",1,"F",100,"Water infiltration",0.36
18,-1.947,103.254,5,"Island",2,"DE",6,"Water infiltration",0.041
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Water infiltration",0.198
20,-1.947,103.257,10,"Island",1,"B",25,"Water infiltration",0.094
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Water infiltration",0.166
22,-1.949,103.249,5,"Island",2,"BF",6,"Water infiltration",0.344
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Water infiltration",0.245
24,-1.948,103.254,40,"Island",2,"CE",400,"Water infiltration",0.402
25,-1.949,103.256,5,"Island",1,"A",6,"Water infiltration",0.141
26,-1.948,103.257,40,"Island",2,"DF",400,"Water infiltration",0.325
27,-1.95,103.246,10,"Island",2,"AE",24,"Water infiltration",0.118
28,-1.95,103.248,5,"Island",1,"B",6,"Water infiltration",0.093
