"PlotID","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Function","value"
1,-1.942,103.252,40,"Island",1,"A",400,"Oil palm yield",344.445
2,-1.942,103.253,20,"Island",3,"ACF",99,"Oil palm yield",371.859
3,-1.943,103.252,20,"Island",2,"CD",100,"Oil palm yield",1091.92
4,-1.943,103.253,10,"Island",1,"F",25,"Oil palm yield",-170.974
5,-1.945,103.252,40,"Island",1,"B",400,"Oil palm yield",4403.127
6,-1.945,103.253,5,"Island",1,"E",6,"Oil palm yield",-27.817
7,-1.945,103.255,40,"Island",3,"AEF",399,"Oil palm yield",-172.851
8,-1.946,103.249,5,"Island",1,"F",6,"Oil palm yield",90.587
9,-1.946,103.251,10,"Island",3,"ABD",24,"Oil palm yield",267.18
10,-1.946,103.252,20,"Island",0,"Z",0,"Oil palm yield",-474.864
11,-1.946,103.253,10,"Island",1,"D",25,"Oil palm yield",-984.436
12,-1.946,103.254,20,"Island",1,"C",100,"Oil palm yield",661.199
13,-1.946,103.256,10,"Island",1,"E",25,"Oil palm yield",-620.01
14,-1.947,103.249,10,"Island",1,"C",25,"Oil palm yield",583.792
15,-1.947,103.25,20,"Island",1,"B",100,"Oil palm yield",441.193
16,-1.947,103.252,5,"Island",3,"ACD",6,"Oil palm yield",466.099
17,-1.947,103.253,20,"Island",1,"F",100,"Oil palm yield",3060.721
18,-1.947,103.254,5,"Island",2,"DE",6,"Oil palm yield",324.763
19,-1.947,103.256,20,"Island",6,"ABCDEF",96,"Oil palm yield",1019.713
20,-1.947,103.257,10,"Island",1,"B",25,"Oil palm yield",-259.68
21,-1.949,103.248,10,"Island",6,"ABCDEF",24,"Oil palm yield",1273.147
22,-1.949,103.249,5,"Island",2,"BF",6,"Oil palm yield",1195.301
23,-1.949,103.251,40,"Island",6,"ABCDEF",396,"Oil palm yield",352.668
24,-1.948,103.254,40,"Island",2,"CE",400,"Oil palm yield",1467.814
25,-1.949,103.256,5,"Island",1,"A",6,"Oil palm yield",-259.769
26,-1.948,103.257,40,"Island",2,"DF",400,"Oil palm yield",4571.855
27,-1.95,103.246,10,"Island",2,"AE",24,"Oil palm yield",-811.11
