PlotID,DistPos,PalmID
1,1,6997
1,2,6998
1,3,6999
2,1,6994
2,2,6995
2,3,6996
3,1,6991
3,2,6992
3,3,6993
4,1,6988
4,2,6989
4,3,6990
5,1,6985
5,2,6986
5,3,6987
6,1,6982
6,2,6983
6,3,6984
7,1,6979
7,2,6980
7,3,6981
8,1,6976
8,2,6977
8,3,6978
9,1,6973
9,2,6974
9,3,6975
10,1,6970
10,2,6971
10,3,6972
11,1,6967
11,2,6968
11,3,6969
12,1,6964
12,2,6965
12,3,6966
13,1,6961
13,2,6962
13,3,6963
14,1,6958
14,2,6959
14,3,6960
15,1,6955
15,2,6956
15,3,6957
16,1,6952
16,2,6953
16,3,6954
17,1,6949
17,2,6950
17,3,6951
18,1,6946
18,2,6947
18,3,6948
19,1,6943
19,2,6944
19,3,6945
20,1,6940
20,2,6941
20,3,6942
21,1,6937
21,2,6938
21,3,6939
22,1,6934
22,2,6935
22,3,6936
23,1,6931
23,2,6932
23,3,6933
24,1,6928
24,2,6929
24,3,6930
25,1,6925
25,2,6926
25,3,6927
26,1,6922
26,2,6923
26,3,6924
27,1,6919
27,2,6920
27,3,6921
28,1,6916
28,2,6917
28,3,6918
29,1,6913
29,2,6914
29,3,6915
30,1,6910
30,2,6911
30,3,6912
31,1,6907
31,2,6908
31,3,6909
32,1,6904
32,2,6905
32,3,6906
33,1,6901
33,2,6902
33,3,6903
34,1,6898
34,2,6899
34,3,6900
35,1,6895
35,2,6896
35,3,6897
36,1,6892
36,2,6893
36,3,6894
37,1,6889
37,2,6890
37,3,6891
38,1,6883
38,2,6884
38,3,6885
39,1,6886
39,2,6887
39,3,6888
40,1,6880
40,2,6881
40,3,6882
41,1,6877
41,2,6878
41,3,6879
42,1,6874
42,2,6875
42,3,6876
43,1,6871
43,2,6872
43,3,6873
44,1,6868
44,2,6869
44,3,6870
45,1,6865
45,2,6866
45,3,6867
46,1,6862
46,2,6863
46,3,6864
47,1,6859
47,2,6860
47,3,6861
48,1,6856
48,2,6857
48,3,6858
49,1,6853
49,2,6854
49,3,6855
50,1,6850
50,2,6851
50,3,6852
51,1,6847
51,2,6848
51,3,6849
52,1,6844
52,2,6845
52,3,6846
