PlotID,Size,DivLev,OilPalm_Remain,OilPalm_Cut
1,40,1,13,7
2,20,3,1,3
3,20,2,2,3
4,10,1,0,1
5,40,1,12,8
6,5,1,0,0
7,40,3,11,8
8,5,1,0,0
9,10,3,1,1
10,20,0,1,3
11,10,1,0,1
12,20,1,2,1
13,10,1,0,1
14,10,1,0,1
15,20,1,2,2
16,5,3,0,0
17,20,1,2,3
18,5,2,0,0
19,20,6,3,2
20,10,1,1,1
21,10,6,0,1
22,5,2,0,0
23,40,6,12,8
24,40,2,11,6
25,5,1,0,0
26,40,2,12,6
27,10,2,0,1
28,5,1,0,0
29,40,3,20,8
30,20,1,2,2
31,5,1,0,0
32,10,2,1,1
33,20,3,4,3
34,10,2,1,1
35,40,0,17,5
36,20,2,1,3
37,10,0,1,1
38,20,1,3,4
39,5,2,0,0
40,5,0,0,0
41,10,1,0,1
42,5,1,0,0
43,40,1,11,7
44,5,3,0,0
45,40,1,14,4
46,40,2,17,8
47,20,2,5,1
48,10,3,0,1
49,40,1,15,5
50,5,6,0,0
51,20,1,3,2
52,40,1,13,7
53,NA,NA,1,0
54,NA,NA,1,0
55,NA,NA,1,0
56,NA,NA,1,0
