"","Palm.ID","Plot.ID","n_cut_r_12m","EF_12m_cut","long_sum_mean_per_area_cut"
"1",7001,1,2,85.7142857142857,10745.1428571429
"2",7002,1,2,85.7142857142857,22822.7944021714
"3",7003,1,4,51.4285714285714,10002.6514285714
"4",7004,1,1,102.857142857143,0
"5",7005,1,3,68.5714285714286,25424.0914285714
"6",7006,1,3,68.5714285714286,10493.753952
"7",7007,1,2,85.7142857142857,1339.88571428571
"8",7008,1,0,120,46865.28
"9",7009,1,3,68.5714285714286,6934.49142857143
"10",7010,1,2,85.7142857142857,25470.1714285714
"11",7011,1,1,102.857142857143,20956.5257142857
"12",7012,1,2,85.7142857142857,23909.4911242286
"13",7013,1,1,102.857142857143,23914.5046724571
"14",7014,2,2,85.7142857142857,14859.3191924571
"15",7015,3,2,85.7142857142857,22523.7924953143
"16",7016,3,2,85.7142857142857,21059.6571428571
"17",7017,5,1,102.857142857143,26291.1085714286
"18",7018,5,1,102.857142857143,22918.1603504914
"19",7019,5,1,102.857142857143,29058.4760070857
"20",7020,5,3,68.5714285714286,14065.8504866743
"21",7021,5,2,85.7142857142857,13284.3428571429
"22",7022,5,3,68.5714285714286,10285.5457028571
"23",7023,5,2,85.7142857142857,30944.9142857143
"24",7024,5,4,51.4285714285714,12872.6427735771
"25",7025,5,3,68.5714285714286,21394.6084416
"26",7026,5,2,85.7142857142857,20692.8
"27",7027,5,3,68.5714285714286,18754.0020946286
"28",7028,5,0,120,32889.78765312
"29",7029,7,2,85.7142857142857,21800.2285714286
"30",7030,7,2,85.7142857142857,7038.85714285714
"31",7031,7,3,68.5714285714286,7236.20571428571
"32",7032,7,2,85.7142857142857,15615.7714285714
"33",7033,7,3,68.5714285714286,5690.98239195429
"34",7034,7,2,85.7142857142857,19016.2285714286
"35",7035,7,1,102.857142857143,15642.5142857143
"36",7036,7,2,85.7142857142857,12808.9314425143
"37",7037,7,3,68.5714285714286,11607.0289999543
"38",7038,7,3,68.5714285714286,5325.53142857143
"39",7039,7,0,120,16839.36
"40",7040,9,1,102.857142857143,21862.4914285714
"41",7041,10,3,68.5714285714286,13818.5142857143
"42",7042,12,2,85.7142857142857,22891.8857142857
"43",7043,12,1,102.857142857143,25290.5142857143
"44",7044,15,2,85.7142857142857,19991.3142857143
"45",7045,15,1,102.857142857143,19775.1324503314
"46",7046,17,3,68.5714285714286,20002.56
"47",7047,17,1,102.857142857143,17184.7690782171
"48",7048,19,1,102.857142857143,17378.7428571429
"49",7049,19,2,85.7142857142857,14284.4461374857
"50",7050,19,2,85.7142857142857,13827.3096870857
"51",7051,20,1,102.857142857143,39773.6228571429
"52",7052,23,1,102.857142857143,22731.4285714286
"53",7053,23,2,85.7142857142857,7707.84084788571
"54",7054,23,2,85.7142857142857,12907.4544462857
"55",7055,23,2,85.7142857142857,13748.3602330286
"56",7056,23,3,68.5714285714286,7438.62857142857
"57",7057,23,3,68.5714285714286,8641.80188516571
"58",7058,23,2,85.7142857142857,8713.37142857143
"59",7059,23,2,85.7142857142857,22455.7714285714
"60",7060,23,2,85.7142857142857,16847.3142857143
"61",7061,23,3,68.5714285714286,17462.70507648
"62",7062,23,2,85.7142857142857,10296
"63",7063,23,2,85.7142857142857,18899.5004369143
"64",7064,24,2,85.7142857142857,25512
"65",7065,24,2,85.7142857142857,8358.62004102857
"66",7066,24,3,68.5714285714286,17530.6971428571
"67",7067,24,2,85.7142857142857,19925.4857142857
"68",7068,24,3,68.5714285714286,16975.5428571429
"69",7069,24,2,85.7142857142857,7759.54285714286
"70",7070,24,3,68.5714285714286,6188.98285714286
"71",7071,24,3,68.5714285714286,19978.9714285714
"72",7072,24,3,68.5714285714286,17201.0057142857
"73",7073,24,3,68.5714285714286,15859.7485714286
"74",7074,24,2,85.7142857142857,3424.527624
"75",7075,26,1,102.857142857143,14567.04
"76",7076,26,2,85.7142857142857,10593.6
"77",7077,26,1,102.857142857143,13240.5942857143
"78",7078,26,2,85.7142857142857,20191.2436841143
